jurisd,jurisd_id,osm_id,jurisdLabel,population,date,method,ref
http://www.wikidata.org/entity/Q10305982,,,Jardim Presidente Dutra,,,,
http://www.wikidata.org/entity/Q121410625,,,Guarulhos (district),,,,
http://www.wikidata.org/entity/Q1761456,1100015,325842,Alta Floresta d'Oeste,22516,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1646975,1100023,325888,Ariquemes,111148,2021-07-01T00:00:00Z,,
http://www.wikidata.org/entity/Q940433,1100031,325882,Cabixi,5067,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1761637,1100049,325872,Cacoal,86416,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1803210,1100056,325883,Cerejeiras,16088,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1785819,1100064,325860,Colorado do Oeste,15213,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q927349,1100072,325874,Corumbiara,7052,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q656758,1100080,325844,Costa Marques,19255,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q616498,1100098,325845,Espigão d'Oeste,33009,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q983810,1100106,325856,Guajará-Mirim,46930,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q988755,1100114,325864,Jaru,51469,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q983815,1100122,325879,Ji-Paraná,131560,2016-01-01T00:00:00Z,http://www.wikidata.org/entity/Q965330,
http://www.wikidata.org/entity/Q1786440,1100130,325881,Machadinho d'Oeste,41724,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q2014329,1100148,325857,Nova Brasilândia d'Oeste,20504,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1803223,1100155,325854,Ouro Preto do Oeste,35445,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1803175,1100189,325843,Pimenta Bueno,37098,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q172512,1100205,325855,Porto Velho,548952,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1871362,1100254,325892,Presidente Médici,18165,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
http://www.wikidata.org/entity/Q1786495,1100262,325848,Rio Crespo,3843,2021-07-01T00:00:00Z,http://www.wikidata.org/entity/Q791801,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?edicao=31451
