jurisdiction_pack_layer,hash_from,url_layer_visualization
BR-RS-Gravatai/_pk0017.01/parcel,d101e729d51ddfc33e4a866684074487c5a2601c7c84d4eca01ff9bbca186cda.rar,
BR-RS-Gravatai/_pk0017.01/via,d101e729d51ddfc33e4a866684074487c5a2601c7c84d4eca01ff9bbca186cda.rar,
BR-SP-Jundiai/_pk0025.01/building,512fe4c44525a211c68415da0ab06d565a6ba3653739809d46404d6653ce5064.zip,
BR-SP-Jundiai/_pk0025.01/geoaddress,c26c149b65a42e9de131145b8db24aed006f37c5f44c625c835df2fc359f4763.zip,
BR-SP-Jundiai/_pk0025.01/nsvia,7995d41f628e31599f80b367650d363f47e75e1515be9fefabefca91189608a5.zip,
BR-SP-Jundiai/_pk0025.01/parcel,4c4a1565e1f7d5675ff2d546d0e6a85acd7bbaa018503601dd07e1be80dee130.zip,
BR-SP-Jundiai/_pk0025.01/via,062c98c3fc074c76a5ff8d1bb3ad97b120d4a60d2e75c835fd6ff096f466da58.zip,
BR-SP-SaoBernardoCampo/_pk0030.01/geoaddress,22ecd5ef4ca76adef213fa422d9b5e4198f0667df598c511c30e512bb10aaedd.zip,
BR-SP-SaoBernardoCampo/_pk0030.01/nsvia,350b605174967b94ef49ce1bbac0352dd76e2175e5eae1b8e5b730cd9950d133.zip,
BR-SP-SaoBernardoCampo/_pk0030.01/parcel,d4985405060cc1887962a4278b4d68ada6ffd3ed72f296bd72d65abc4897cd2d.zip,
BR-SP-SaoBernardoCampo/_pk0030.01/via,3269bacc09d450b4d7496a2bc749ece94b1f48462ba0aae70d902404256bc433.zip,
BR-DF-Brasilia/_pk0068.01/block,0e5c2d6d8728b11d7a89ada7fb7639756e479761c57b1aa23d9f4bcdec8d480d.zip,
BR-DF-Brasilia/_pk0068.01/building,c9aca8c68c827c3a73598b677dc217fd8af5df1b8f53349e37b00ae13bcd46bd.zip,
BR-DF-Brasilia/_pk0068.01/nsvia,12a8253e85ad740a408c73dc73224b5b939d8125fdbdf73ae8355338d1250730.zip,
BR-DF-Brasilia/_pk0068.01/parcel,b55567b8f4b77e16eb7805ac2883ffed63b67ec7d39aed103e914bbea0d94750.zip,
BR-RN-Natal/_pk0073.01/block,63f265730d08e440bbfaf630a78c053968ee7ec12447b19af9554f5a8a78614f.zip,https://addressforall.maps.arcgis.com/apps/mapviewer/index.html?layers=84999bdcf69049bf912afbd03425b299
BR-RN-Natal/_pk0073.01/building,2a5181306cd0b82550fa9901efd9dfa8d2865a053537c5ab6b784b06edbbd568.zip,
BR-RN-Natal/_pk0073.01/nsvia,2abd24ace6842e2257f9e89bc7137de259ab9a1ea6175b3486911b99fca6dfdc.zip,
BR-RN-Natal/_pk0073.01/parcel,4fb50d5099297049dab0406a2ff86b78328062b2834b7a6943e256c9dd82cb31.zip,
BR-RN-Natal/_pk0073.01/via,3939095828b4c0ec81efbcfca8f718d33e503dd8689e06d624c7957ba7fbb918.zip,
BR-SP-Guarulhos/_pk0081.01/geoaddress,1641b8c5fe5a2e9141939bb7353bda4fda1ea04d7a631a4d012e4759d1bf8447.zip,
BR-SP-Guarulhos/_pk0081.01/nsvia,d9cddc63f7782d250fc80f0572b9fb884ee7ec1911e19deea4381a4ad5d0a172.zip,
BR-SP-Guarulhos/_pk0081.01/via,47910adcd297a9ba875d89dacc91bc6b2a37d6eab4910964253e117c1484b4c5.zip,
BR-GO-AparecidaGoiania/_pk0084.01/block,607ba1a0c854d6c93a0e57a95fa8851be3abe05b292b477ee5eb71ec245b1fae.rar,
BR-GO-AparecidaGoiania/_pk0084.01/nsvia,607ba1a0c854d6c93a0e57a95fa8851be3abe05b292b477ee5eb71ec245b1fae.rar,
BR-GO-AparecidaGoiania/_pk0084.01/parcel,607ba1a0c854d6c93a0e57a95fa8851be3abe05b292b477ee5eb71ec245b1fae.rar,
BR-GO-AparecidaGoiania/_pk0084.01/via,607ba1a0c854d6c93a0e57a95fa8851be3abe05b292b477ee5eb71ec245b1fae.rar,
BR-SC-Itajai/_pk0141.01/parcel,b69cef94c0fad1a99013289fd30eb3ad0d612e227547f1a95cbd104716980263.rar,
BR-SC-Itajai/_pk0141.01/via,b69cef94c0fad1a99013289fd30eb3ad0d612e227547f1a95cbd104716980263.rar,
BR-SP-Jacarei/_pk0145.01/nsvia,16075eaba18c74d131e46efacfc88a43cd6154696fd6dbf96f29fecf2fbca54e.rar,
BR-SP-Jacarei/_pk0145.01/parcel,16075eaba18c74d131e46efacfc88a43cd6154696fd6dbf96f29fecf2fbca54e.rar,
BR-SP-Jacarei/_pk0145.01/via,16075eaba18c74d131e46efacfc88a43cd6154696fd6dbf96f29fecf2fbca54e.rar,
BR-SP-MogiCruzes/_pk0152.01/via,ca1f57eb1c709894fdb12d88899343c92ad07fc997b4d838ee1b89aec3320536.zip,
